"weight","contraceptive_any","contraceptive_modern","unmet_need","REGNAME","age","marst","edattain","chsurv","chborn","urban","activity","floor","walls","roof","water","electricity","toilet","religion","language","relate","fuelcook","ethnicity","literacy","tobacco","occupation"
0.642171,"1","1","0","Pujehun","35-39","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Natural","Surface water","No","Facility","Islam","Mende","Head","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","45-49","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Rudimentary","Public tap","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","45-49","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","35-39","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","1","Pujehun","20-24","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Other","Wood-based","Mende","Yes","No","Did not work"
0.642171,"0","0","1","Pujehun","30-34","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","25-29","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Mende","Wife","Wood-based","Mende","Yes","No","Agricultural"
0.642171,"1","1","0","Pujehun","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Natural","Mechanical well","No","Facility","Islam","Mende","Daughter","Wood-based","Mende","No","No","Sales"
0.642171,"1","1","0","Pujehun","30-34","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","15-19","Never in union","Incomplete primary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Mende","Daughter","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","45-49","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Public tap","No","No facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","40-44","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Head","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Daughter","Wood-based","Mende","Yes","No","Did not work"
0.642171,"0","0","0","Pujehun","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Niece","Wood-based","Mende","Yes","No","Did not work"
0.642171,"0","0","0","Pujehun","45-49","Married","No education","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Did not work"
0.642171,"1","1","0","Pujehun","40-44","Married","Incomplete primary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Natural","Surface water","No","Facility","Islam","Mende","Head","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","30-34","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
0.642171,"0","0","0","Pujehun","40-44","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Natural","Surface water","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Agricultural"
1.129547,"0","0","1","Tonkolili","25-29","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Krio","Wife","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","0","Tonkolili","35-39","Married","Incomplete primary","0-4","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Mende","Wife","Wood-based","Mende","No","No","Sales"
1.129547,"0","0","1","Tonkolili","45-49","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"0","0","1","Tonkolili","15-19","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","In-law","Wood-based","Temne","Yes","No","Sales"
1.129547,"1","1","0","Tonkolili","25-29","Never in union","Incomplete primary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Krio","Niece","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","1","Tonkolili","15-19","Never in union","Complete primary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Krio","Niece","Wood-based","Temne","Yes","No","Sales"
1.129547,"1","1","0","Tonkolili","20-24","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","Wife","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","1","Tonkolili","40-44","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","Yes","Agricultural"
1.129547,"0","0","0","Tonkolili","45-49","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"0","0","0","Tonkolili","20-24","Married","Incomplete primary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Protected well","No","Facility","Christian","Krio","Daughter","Wood-based","Temne","No","No","Sales"
1.129547,"0","0","1","Tonkolili","30-34","Married","Incomplete primary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"0","0","0","Tonkolili","45-49","Married","Complete primary","0-4","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Krio","Sister","Wood-based","Loko","No","Yes","Sales"
1.129547,"0","0","0","Tonkolili","15-19","Never in union","Incomplete primary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","Niece","Wood-based","Mende","Yes","No","Did not work"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Christian","Temne","Daughter","Wood-based","Temne","Yes","No","Did not work"
1.129547,"0","0","0","Tonkolili","40-44","Married","No education","5+","5+","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Sales"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Temne","Daughter","Wood-based","Temne","Yes","No","Did not work"
1.129547,"0","0","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Temne","Daughter","Wood-based","Temne","Yes","No","Did not work"
1.129547,"0","0","0","Tonkolili","40-44","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Not related","Wood-based","Temne","Yes","No","Did not work"
1.129547,"1","1","0","Tonkolili","25-29","Never in union","Incomplete primary","0-4","0-4","Rural","Worked","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Islam","Temne","Other","Unknown","Temne","No","No","Sales"
1.129547,"0","0","0","Tonkolili","45-49","Widowed","Incomplete secondary","0-4","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Christian","Temne","Head","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","0","Tonkolili","15-19","Never in union","Complete primary","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","Granddaughter","Wood-based","Temne","Yes","No","Did not work"
1.129547,"0","0","0","Tonkolili","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","In-law","Wood-based","Temne","No","Yes","Agricultural"
